qu,an
以下说法不符合涉密人员手机使用保密要求的是（）。,IMG_0363.png
以下说法，不符合保密要害部门部位管理要求的是（)。,IMG_0415.png
涉密人员保密审查由机关单位（)组织实施。,IMG_0359.png
使用微信传递国家秘密属于泄密行为。下列关于该行为的说法，不正确的是(）。,IMG_0377.png
涉密人员脱密期自批准涉密人员离职离岗之日起计算，核心涉密人员脱密期不少于(）年，重要涉密人员脱密期不少于(）年，一般涉密人员脱密期不少于（)年。,IMG_0391.png
某单位工作人员张某，在单位维修一台处理涉密信息的多功能一体机（兼具打印、复印、扫描等功能，以下简称“涉密一体机”）时，发现无法解决该机器不能扫描的故障。张某于是擅自决定将其“废物变宝”，带回自己办公室与普通电工b日过左立北正H红知首☆t#出B止以水太行楼的世信自生这革处出三的b人之十t八,IMG_0420.png
保密法第三十二条规定，机关、单位应将涉及()确定为保密要害部门。一,IMG_0338.png
下列属于手机“木马”植入方式的是（)。①扫描来源不明的二维码②连接不明W-Fi③安装来源不明的应用程序④打开不明链接,IMG_0319.png
下列不属于窃听技术的是（)。①有线窃听②无线窃听③激光窃听④间谍卫星拍照,IMG_0318.png
在未采取安全保密防护的情况下，禁止在涉密网络和非涉密网络之间进行信息交换。,IMG_0252.png
涉密信息系统按照涉密程度分为绝密级、机密级、秘密级。,IMG_0403.png
机关单位要保证涉密人员每年接受不少于4个学时的保密专题教育培训。,IMG_0405.png
当前常见的几款即时通信软件都是基于互联网的应用服务，聊天记录、文件收藏都会在“云端”传输、处理、存储。一日涉及国家秘密信息，就等于将其完全暴露在了互联网上。,IMG_0354.png
若公民在生活中偶然获悉泄露的国家秘密，应当立即采取补救措施并及时报告有关机关、单位，机关单位接到报告后，应当立即作出处理，并及时向保密行政管理部门报告。,IMG_0424.png
涉密人员因公出国（境)，按照人事行政隶属关系、干部管理权限和外事审批权限审批。,IMG_0212.png
行政机关不得公开涉及国家秘密、商业秘密、个人隐私的政府信息。但是，经权利人同意公开或者行政机关认为不公开可能对公共利益造成重大影响的涉及商业秘密、个人隐私的政府信息，可以公开。,IMG_0285.png
工作需要原则和最小化原则是确定国家秘密知悉范围基本原则。,IMG_0409.png
2010年4月29日，《中华人民共和国保守国家秘密法》经第十一届全国人大常委会第十四次会议修订通过，这是我国历史上首部保密法律。,IMG_0290.png
“南陈北李，相约建党”是指1920年，陈独秀和李大钊秘密相约筹建中国共产党。,IMG_0408.png
按照现有的保密法律制度，定密责任人包括（)。,IMG_0364.png
下列不属于常见窃照手段的是（)。,IMG_0384.png
以下关于涉密人员使用手机的注意事项，说法不正确的是（)。,IMG_0378.png
邓颖超同志在《一个严格遵守保密纪律的共产党员》一文中回忆，“党组织经常教导我们，（)”。这也是她和周恩来同志一生保守党的秘密的原则。,IMG_0298.png
下列不符合信息公开保密审查工作要求的是（)。,IMG_0399.png
国家秘密一经确定，应当同时在国家秘密载体上作出国家秘密标志。下列国家秘密标志形式正确的为（)。,IMG_0365.png
关于在手机使用中保密要求不正确的是（)。,IMG_0417.png
()通过了《中国共产党章程》，是我党成立后制定的第一个党章，其中规定：凡“泄漏本党秘密”的党员，“该地方执行委员会必须开除之”。,IMG_0396.png
陈某是某军工企业的工作人员，接受境外不明身份人员资助，在境外人员指挥不拍摄军舰以及舰艇的发动机型号等。事后陈某被国家安全机关抓获，经鉴定，陈某所提供的资料涉及多份国家秘密。以下关于陈某行为，不正确的是（)。,IMG_0380.png
